4GTV嗅探,#genre#
61 CATCHPLAY電影台HD,https://z88.ubtvfans.com/live/rx1/93/7febf95a8704191f5eaec5b937d1400b/index.m3u8
62 東森電影台HD,https://epg.pw/stream/8b9338c8431ac5c96988336ac78dc95497517655dff3a315ff079c6506588178.m3u8
63 緯來電影台HD,https://epg.pw/stream/722505b3aabbd0a31f226ee7ea22ff410e8ebc38f635956ecc1be637b1732c0b.m3u8
64 LS龍祥電影台HD,https://epg.pw/stream/8b5b6a8a9738b0251b7a2cdbdc2de9df6e7115c8137c024750fc877a69cc1677.m3u8
65 HBO,https://epg.pw/stream/af6b81c69704e428f2bcb5f243cacf032289322bf4b989f5e3260f419a76ee94.m3u8
66 東森洋片台HD,https://epg.pw/stream/3472bff5bba04badcd6f0289d5792d8710bfa290dd19488c097c79bcb63d122b.m3u8
67 AXN HD,https://epg.pw/stream/83bd6e1be7a75976d212e160b77788270a7b48379b43ee827328445333c5998a.ctv
68 好萊塢電影台HD,https://epg.pw/stream/10245195fe86e1b6102991006aec2652c7b8deb3d53c29c014c3b836da397bc0.m3u8
69 amc電影台HD,https://epg.pw/stream/265a70264106233f05344fa3d0165799cb06f311e19d8f28dcc00f4549a8fdad.ctv
70 CINEMAX HD,https://epg.pw/stream/c9aac0de14044659302916bbedcf684c58749e042249fa5a8f8a1d829ef4d8ec.m3u8
71 緯來育樂台HD,https://epg.pw/stream/3791deb30b7bba8c51c4492c66e4533fb786249b546387ca93e2a8a044689529.m3u8
72 緯來體育台HD,https://epg.pw/stream/407240d46cff5059c3c1e2dbdd2a3a3d2766bc3ff013ae7f1f829a7b6265ae15.m3u8
73 DAZN 1 HD,https://epg.pw/stream/1f278c90cbfe1ab3c7bd518f2322041004203b18985940fc2e0d1410231aa936.m3u8
74 DAZN 2 HD,https://epg.pw/stream/94e9f0a64e3104f9d55d2750b441ad14c035d1965f7b9c4dde93aeefb6899eb8.m3u8
75 MOMO綜合台HD,rtmp://f13h.mine.nu/sat/tv761
76 博斯運動一台,https://epg.pw/stream/6336ddc3c7f5f2207f760c9c702f6ea835ab0f1ba340a8318ca990da0a8176b4.m3u8
77 緯來日本台HD,https://epg.pw/stream/4003100306bce5d2f0170633c2e4d906c5fdafc930542963d193599d7e2f9e3d.m3u8
78 國興衛視HD,https://z88.ubtvfans.com/live/rx1/65/512600edc0968aef5fac5f0cc1195023/index.m3u8
79 BBC Lifestyle HD,https://epg.pw/stream/540f1658f911441b8dc2a6d2b27b999391b9dee067447c431b21cb8fc8391b4b.ctv
81 Animax(HD),https://epg.pw/stream/c22b18b1384bd6ebc036b9b296bb6b8c213aed61387b9751bac83ad2c087c412.ctv
83 JET 綜合台HD,https://epg.pw/stream/cd8155e26d814ebf606095b3193db7a12628d72dee8068015f9943e0188dac53.m3u8
85 寰宇新聞台,https://epg.pw/stream/f1aee25c74ec1e559ed86c00feb6074cef35d76d15a0d3f7019530b7ac094bcc.m3u8
88 Z頻道HD,https://epg.pw/stream/f89462f4f0f80c88d72439d1e476bfa3513f723c1df6cc1abc79d464e96638f5.m3u8
89 ETtoday綜合台HD,https://epg.pw/stream/a400d3e8edde075f9f7876e5f305077de25f4e274cd33fe8c837afafacdbeb89.m3u8
91 八大娛樂台HD,https://epg.pw/stream/89721c3a03d6612da0013885a828bad02a80c584180bcbd938d3acd88a90427d.m3u8
151 民視第一台HD,https://epg.pw/stream/046f5a225f1372bab23d03244865a597c2524a4982b979a1664f83b5af42818e.m3u8
152 民視台灣台HD,https://epg.pw/stream/6de6fc3073fd98a8f878df8d20a3bc89656f040bfec5801acaa1e8cd2e112cb8.m3u8
153 中視菁采台HD,https://epg.pw/stream/68e9b4a0a59369822cb4447da6ddefd8032c322dc5fe904f0d84224747d03b47.m3u8
154 中視新聞台HD,https://epg.pw/stream/4a761bf0caa97c89b156885de0a3183d4ab0691e25372a29419c4e0562fb1ba0.m3u8
155 台視新聞台HD,https://epg.pw/stream/d2b89dac8f92beb218b6a885fc7d8de5ad598e8c46b4cc71c7a7fd9c81deed8d.m3u8
